id,name,condition,day,activity,completed,diff_rating,diff,success,rep
602,602,DSTRESS,0,CRUNCHES,1,1,1.0767984,1,1
602,602,DSTRESS,0,PUSHUPS_OFF_WALL,1,1,1.037143,1,1
602,602,DSTRESS,0,STANDING_KNEE_LIFTS,1,1,1.0767894,1,1
602,602,DSTRESS,2,MARCHING_IN_PLACE,2,1.5,0.21198572,0,1
602,602,DSTRESS,2,KNEELING_PLANK,1,2.25,0.69800485,1,1
602,602,DSTRESS,2,STATIC_LUNGE_WITH_WALL,1,1.5,0.5437191,1,1
602,602,DSTRESS,4,CRUNCHES,1,1,1.0767984,1,2
602,602,DSTRESS,4,PUSHUPS_OFF_WALL,1,1,1.037143,1,2
602,602,DSTRESS,4,STANDING_KNEE_LIFTS,1,1,1.0767894,1,2
602,602,DSTRESS,7,MARCHING_IN_PLACE,3,1.5,0.21198572,0,2
602,602,DSTRESS,7,KNEELING_PLANK,3,2.25,0.69800485,0,2
602,602,DSTRESS,7,STATIC_LUNGE_WITH_WALL,3,1.5,0.5437191,0,2
602,602,DSTRESS,9,CRUNCHES,3,1,1.0767984,0,3
602,602,DSTRESS,9,PUSHUPS_OFF_WALL,3,1,1.037143,0,3
602,602,DSTRESS,9,STANDING_KNEE_LIFTS,3,1,1.0767894,0,3
602,602,DSTRESS,11,CRUNCHES,0,1,1.0767984,0,4
602,602,DSTRESS,11,PUSHUPS_OFF_WALL,0,1,1.037143,0,4
602,602,DSTRESS,11,STANDING_KNEE_LIFTS,0,1,1.0767894,0,4
602,602,DSTRESS,14,CRUNCHES,0,1,1.0767984,0,5
602,602,DSTRESS,14,PUSHUPS_OFF_WALL,0,1,1.037143,0,5
602,602,DSTRESS,14,STANDING_KNEE_LIFTS,0,1,1.0767894,0,5
602,602,DSTRESS,16,CRUNCHES,0,1,1.0767984,0,6
602,602,DSTRESS,16,PUSHUPS_OFF_WALL,0,1,1.037143,0,6
602,602,DSTRESS,16,STANDING_KNEE_LIFTS,0,1,1.0767894,0,6
602,602,DSTRESS,18,CRUNCHES,0,1,1.0767984,0,7
602,602,DSTRESS,18,PUSHUPS_OFF_WALL,0,1,1.037143,0,7
602,602,DSTRESS,18,STANDING_KNEE_LIFTS,0,1,1.0767894,0,7
602,602,DSTRESS,21,CRUNCHES,1,1,1.0767984,1,8
602,602,DSTRESS,21,PUSHUPS_OFF_WALL,1,1,1.037143,1,8
602,602,DSTRESS,21,STANDING_KNEE_LIFTS,1,1,1.0767894,1,8
602,602,DSTRESS,23,MARCHING_IN_PLACE,1,1.5,0.21198572,1,3
602,602,DSTRESS,23,KNEELING_PLANK,1,2.25,0.69800485,1,3
602,602,DSTRESS,23,STATIC_LUNGE_WITH_WALL,1,1.5,0.5437191,1,3
602,602,DSTRESS,25,DEADBUG,3,2.5,0.41650733,0,1
602,602,DSTRESS,25,KNEELING_PLANK,3,2.25,0.69800485,0,4
602,602,DSTRESS,25,TWO_LEG_HIP_BRIDGE_ON_FLOOR,3,1.5,0.31504178,0,1
603,603,DSTRESS,0,CRUNCHES,1,1,1.0767984,1,1
603,603,DSTRESS,0,PUSHUPS_OFF_WALL,1,1,1.037143,1,1
603,603,DSTRESS,0,STANDING_KNEE_LIFTS,1,1,1.0767894,1,1
603,603,DSTRESS,2,MARCHING_IN_PLACE,1,1.5,0.21198572,1,1
603,603,DSTRESS,2,KNEELING_PLANK,1,2.25,0.69800485,1,1
603,603,DSTRESS,2,STATIC_LUNGE_WITH_WALL,1,1.5,0.5437191,1,1
603,603,DSTRESS,4,DEADBUG,3,2.5,0.41650733,0,1
603,603,DSTRESS,4,DUMBBELL_KNEELING_ROW,3,2.5,0.21156933,0,1
603,603,DSTRESS,4,TWO_LEG_HIP_BRIDGE_ON_FLOOR,3,1.5,0.31504178,0,1
603,603,DSTRESS,7,DEADBUG,1,2.5,0.41650733,1,2
603,603,DSTRESS,7,KNEELING_PLANK,1,2.25,0.69800485,1,2
603,603,DSTRESS,7,TWO_LEG_HIP_BRIDGE_ON_FLOOR,1,1.5,0.31504178,1,2
603,603,DSTRESS,9,JUMPING_JACKS,1,3.5,0.764519,1,1
603,603,DSTRESS,9,PUSHUPS_ON_BAR,1,2.625,0.31963283,1,1
603,603,DSTRESS,9,SQUAT_NO_WEIGHT,1,3,0.764527,1,1
603,603,DSTRESS,11,MOUNTAIN_CLIMBERS_ON_BENCH,3,4.25,-0.4266266,0,1
603,603,DSTRESS,11,HALF_KNEELING_ROW,3,3.25,-0.6950843,0,1
603,603,DSTRESS,11,HALF_KNEELING_MEDICINE_BALL_CHOP,3,4,-0.6951367,0,1
603,603,DSTRESS,14,MOUNTAIN_CLIMBERS_ON_BENCH,0,4.25,-0.4266266,0,2
603,603,DSTRESS,14,PUSHUPS_ON_BAR,0,2.625,0.31963283,0,2
603,603,DSTRESS,14,SUPINE_HIP_BRIDGE_WITH_BENCH,0,4.5,0.44555974,0,1
603,603,DSTRESS,16,MOUNTAIN_CLIMBERS_ON_BENCH,1,4.25,-0.4266266,1,3
603,603,DSTRESS,16,PUSHUPS_ON_BAR,1,2.625,0.31963283,1,3
603,603,DSTRESS,16,SUPINE_HIP_BRIDGE_WITH_BENCH,1,4.5,0.44555974,1,2
603,603,DSTRESS,18,PUSHUPS_WITH_ROTATION_MODIFIED,0,4.25,-0.012801668,0,1
603,603,DSTRESS,18,STANDING_BAND_CHEST_PRESS,0,3.5,-0.10034295,0,1
603,603,DSTRESS,18,ASSISTED_ROMANIAN_DEADLIFT,0,5.25,0.108657576,0,1
603,603,DSTRESS,21,PUSHUPS_WITH_ROTATION_MODIFIED,1,4.25,-0.012801668,1,2
603,603,DSTRESS,21,STANDING_BAND_CHEST_PRESS,1,3.5,-0.10034295,1,2
603,603,DSTRESS,21,ASSISTED_ROMANIAN_DEADLIFT,1,5.25,0.108657576,1,2
603,603,DSTRESS,23,MODIFIED_BURPEE_NO_JUMP,3,5.25,0.2508346,0,1
603,603,DSTRESS,23,HIGH_PLANK,3,4.875,0.38688454,0,1
603,603,DSTRESS,23,ELEVATED_LUNGE_IN_PLACE,3,5.25,0.30544847,0,1
603,603,DSTRESS,25,MODIFIED_BURPEE_NO_JUMP,0,5.25,0.2508346,0,2
603,603,DSTRESS,25,HIGH_PLANK,0,4.875,0.38688454,0,2
603,603,DSTRESS,25,ELEVATED_LUNGE_IN_PLACE,0,5.25,0.30544847,0,2
608,608,DSTRESS,0,CRUNCHES,0,1,1.0767984,0,1
